"","iso2c","year","income_pc","market_wealth","final_consumption","household_expenditure","share_capital_income","share_labor_income","labor_income","Pi","C","K","f","g","r","country"
"74","AU",2009,46935.0474004663,6489279166632.33,236803304143.866,656517809188.448,0.293473720550537,0.706526279449463,719313250181.026,719313250181.026,893321113332.314,6489279166632.33,0.0252483674520534,-0.0584120629328282,-0.0331636954807747,"Australia"
"75","AU",2010,47182.1256684274,7196309916968.07,253432051239.463,673588420755.296,0.279491722583771,0.720508277416229,748971440773.062,748971440773.062,927020471994.759,7196309916968.07,0.0274374127926596,0.108953665296335,0.136391078088995,"Australia"
"76","AU",2011,47450.4769213461,6910081905015.98,252272623197.862,669854106538.703,0.285332143306732,0.714667856693268,757580111026.791,757580111026.791,922126729736.565,6910081905015.98,0.0228654158323271,-0.0397742753236907,-0.0169088594913636,"Australia"
"77","AU",2012,48456.811056881,6698708007751.58,242039655645.671,708858858026.586,0.294922232627869,0.705077767372131,776529034815.914,776529034815.914,950898513672.257,6698708007751.58,0.0252340683154232,-0.0305892028734082,-0.00535513455798491,"Australia"
"78","AU",2013,48923.9359972683,7182035279210.32,247583429735.794,743777828341.04,0.28955927491188,0.710440754890442,803504313658.61,803504313658.61,991361258076.835,7182035279210.32,0.0280437577217638,0.0721523121920594,0.100196069913823,"Australia"
"79","AU",2014,49256.7159402969,7759373834482.53,255998257299.489,765069772953.375,0.287653207778931,0.712346792221069,823698300618.19,823698300618.19,1021068030252.86,7759373834482.53,0.0274810303711535,0.0803864827764658,0.107867513147619,"Australia"
"80","AU",2015,48132.0931686611,8405577891110.2,260942481863.131,786703549816.932,0.271359801292419,0.728640198707581,835602060929.937,835602060929.937,1047646031680.06,8405577891110.2,0.0273274590544673,0.0832804386554947,0.110607897709962,"Australia"
"81","AU",2016,47860.8287362737,8643688140850.5,275498191067.354,785651457723.808,0.251245200634003,0.748754799365997,867288621263.155,867288621263.155,1061149648791.16,8643688140850.5,0.0230633788704803,0.0283276477625806,0.0513910266330609,"Australia"
"82","AU",2017,47925.7316649019,9308627393137.84,277913394206.688,801326368963.709,0.275748878717422,0.724251091480255,853745333023.682,853745333023.682,1079239763170.4,9308627393137.84,0.0260877563456989,0.076927723611961,0.10301547995766,"Australia"
"83","AU",2018,48526.7273641297,9463331106374.7,295495311164.505,797475861085.414,0.279963552951813,0.720036447048187,873012155979.321,873012155979.321,1092971172249.92,9463331106374.7,0.0236295865094727,0.0166193904539471,0.0402489769634198,"Australia"
"84","AU",2019,48852.4614777456,9404455151956.11,317375505614.02,782195217983.045,0.289487451314926,0.710512578487396,880369288192.676,880369288192.676,1099570723597.06,9404455151956.11,0.023163242725041,-0.00622148308632336,0.0169417596387177,"Australia"
"85","AW",1996,40080.7924857783,867569340.47448,740568099.956598,1719552640.82843,0.214206427335739,0.785793542861938,2501254313.80902,2501254313.80902,2460120740.78503,867569340.47448,-0.0657526215969616,0.386822353605687,0.321069732008725,"Aruba"
"86","AW",1997,41286.1881606153,1172372934.92113,898303206.065513,1725449816.75724,0.213816598057747,0.786183416843414,2656988751.82686,2656988751.82686,2623753022.82275,1172372934.92113,-0.0383090174509083,0.351330527978259,0.313021510527351,"Aruba"
"87","AW",1998,41408.1019707845,1473724508.89229,862400824.985449,1773634706.41364,0.223938032984734,0.776061952114105,2710766776.10482,2710766776.10482,2636035531.39909,1473724508.89229,-0.0637435772182541,0.257044123925831,0.193300546707577,"Aruba"
"88","AW",1999,40318.5123608478,1741342812.86737,838003841.548941,1833313575.44454,0.212732776999474,0.787267208099365,2757281211.72593,2757281211.72593,2671317416.99348,1741342812.86737,-0.0583309799177264,0.181593169116957,0.123262189199231,"Aruba"
"89","AW",2000,42853.6284727709,2199506516.19923,914071218.419821,1918931254.2692,0.233291357755661,0.766708672046661,2927524692.29466,2927524692.29466,2833002472.68902,2199506516.19923,-0.0542812241835306,0.263109423340618,0.208828199157088,"Aruba"
"90","AZ",1996,3239.69906848086,28435860594.7705,3349570209.31055,24477305744.1104,0.54175329208374,0.45824670791626,11801067040.5821,11801067040.5821,27826875953.421,28435860594.7705,0.575577131473736,0.0212920396806194,0.596869171154355,"Azerbaijan"
"91","AZ",1997,3279.10828149632,26053308314.5575,3735652479.45093,21830545630.4966,0.538015782833099,0.461984246969223,12119370294.186,12119370294.186,25566198109.9475,26053308314.5575,0.472882745044633,-0.0837868884703677,0.389095856574265,"Azerbaijan"
"92","AZ",1998,3466.84737375813,24369239132.2399,4830033353.29677,25724285233.3542,0.491884976625443,0.508114993572235,14165044740.8532,14165044740.8532,30554318586.6509,24369239132.2399,0.629066898066074,-0.0646393602679861,0.564427537798088,"Azerbaijan"
"93","AZ",1999,3747.65619417453,23926270410.578,4823935052.42916,25118918026.1986,0.470041483640671,0.529958486557007,16090329104.8275,16090329104.8275,29942853078.6277,23926270410.578,0.568443023544123,-0.0181773718604084,0.550265651683714,"Azerbaijan"
"94","AZ",2000,4015.66792696968,24864358173.0971,5153955096.56053,23904387856.0943,0.444266259670258,0.555733740329742,18277605544.0908,18277605544.0908,29058342952.6548,24864358173.0971,0.450581608565192,0.0392074379508965,0.489789046516089,"Azerbaijan"
"95","AZ",2001,4356.97207068656,24521950920.4273,5088024501.13583,25232793678.2216,0.418654084205627,0.581345915794373,20977836762.6434,20977836762.6434,30320818179.3574,24521950920.4273,0.375757996714468,-0.013771007089188,0.36198698962528,"Azerbaijan"
"96","AZ",2002,4662.50253764402,23566587927.247,5194853285.62187,28404187104.8849,0.402084767818451,0.597915232181549,23339711083.1588,23339711083.1588,33599040390.5068,23566587927.247,0.418373290960376,-0.0389595018879355,0.379413789072441,"Azerbaijan"
"97","AZ",2003,5213.64983405942,23150086747.1566,5891263534.53176,30022144019.6685,0.398618370294571,0.601381599903107,26532969305.8499,26532969305.8499,35913407554.2002,23150086747.1566,0.398039727995793,-0.0176733764504313,0.380366351545361,"Azerbaijan"
"98","AZ",2004,5489.22348226713,24861980055.4033,6842187101.67904,30611169671.6758,0.393315196037292,0.606684803962708,28493631853.7513,28493631853.7513,37453356773.3548,24861980055.4033,0.387027703933074,0.0739475979914832,0.460975301924557,"Azerbaijan"
"99","AZ",2005,6590.35470349601,35034849795.7612,7298239938.00386,29788689402.6812,0.443677455186844,0.556322574615479,31737167954.3066,31737167954.3066,37086929340.685,35034849795.7612,0.215178411954995,0.409173755175103,0.624352167130098,"Azerbaijan"
"100","AZ",2006,8888.59530311319,59874713505.5237,8103748755.93003,35386251306.9599,0.603603482246399,0.396396517753601,30876816562.7323,30876816562.7323,43490000062.8899,59874713505.5237,0.360018198270787,0.709004430005229,1.06902262827602,"Azerbaijan"
"101","AZ",2007,10897.3017952995,87867520499.0402,11480658756.3044,39889173231.2696,0.656372845172882,0.343627125024795,33246384894.0517,33246384894.0517,51369831987.5739,87867520499.0402,0.302689499998197,0.467523021900289,0.770212521898486,"Azerbaijan"
"102","AZ",2008,12670.134695194,121310568207.303,11277172591.7828,44386746252.1628,0.672057509422302,0.32794252038002,37394307559.7656,37394307559.7656,55663918843.9456,121310568207.303,0.207922235433735,0.38060761835914,0.588529853792875,"Azerbaijan"
"103","AZ",2009,14052.6564226403,138807450754.785,16113748746.9689,61943369141.3108,0.581311702728271,0.418688297271729,53656722912.1885,53656722912.1885,78057117888.2796,138807450754.785,0.201139895201828,0.144232137447272,0.3453720326491,"Azerbaijan"
"104","AZ",2010,14897.845891444,146615682276.205,16551687235.9635,60014398510.0007,0.631908178329468,0.36809179186821,50654773137.6239,50654773137.6239,76566085745.9642,146615682276.205,0.186670906118107,0.056252250718256,0.242923156836363,"Azerbaijan"
"105","BE",1996,41326.0355656527,2613240564002.29,98522296567.5174,242429469547.308,0.250900954008102,0.749099016189575,313387569670.304,313387569670.304,340951766114.826,2613240564002.29,0.0108713129128682,0.0306614939799858,0.041532806892854,"Belgium"
"106","BE",1997,42896.9047569395,2754973701083.47,99569525870.8979,247744822315.476,0.255631625652313,0.744368374347687,324256242680.528,324256242680.528,347314348186.374,2754973701083.47,0.00882356788099582,0.0542365440953175,0.0630601119763134,"Belgium"
"107","BE",1998,43496.6378895016,2862775395214.16,101246138217.711,253812383472.625,0.257667928934097,0.74233204126358,328977118102.969,328977118102.969,355058521690.336,2862775395214.16,0.00946702452263326,0.0391298450828394,0.0485968696054726,"Belgium"
"108","BE",1999,44790.0206047495,3073983742305.86,105676002637.307,258471387277.427,0.244957402348518,0.755042612552643,345766809095.313,345766809095.313,364147389914.735,3073983742305.86,0.00642054589757536,0.0737774774244526,0.080198023322028,"Belgium"
"109","BE",2000,46323.7228604555,3239089642325.9,108282093467.557,269183656264.019,0.257566809654236,0.742433190345764,353014040644.651,353014040644.651,377465749731.576,3239089642325.9,0.0079544041662965,0.0537107264907649,0.0616651306570614,"Belgium"
